,Player,Team,Year,09/10vs. PIT,09/17vs. BAL,09/24vs. IND,10/01vs. CIN,10/08vs. NYJ,10/15vs. HOU,10/22vs. TEN,10/29vs. MIN,11/12vs. DET,11/19vs. JAX,11/26vs. CIN,12/03vs. LAC,12/10vs. GNB,12/17vs. BAL,12/24vs. CHI,12/31vs. PIT
0,Dominique Alexander,cle,2017,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Chris Barker,cle,2017,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
2,Briean Boddy-Calhoun,cle,2017,,,,,,,,,,,,,Questionable: Knee,Doubtful: Knee,Questionable: Knee,Questionable: Knee
3,Kenny Britt,cle,2017,,,,,Doubtful: Knee,Questionable: Knee,Questionable: Knee,,,,,,,,,
4,James Burgess,cle,2017,,,,,,Doubtful: Knee,Out: Knee,,,,,,,,,
5,Ibraheim Campbell,cle,2017,,,,,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,
6,Tank Carder,cle,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
7,Sammie Coates,cle,2017,,,Doubtful: Hamstring,Questionable: Hamstring,,,Questionable: Hamstring,,,,Out: Knee,Out: Knee,Questionable: Knee,,,
8,Corey Coleman,cle,2017,,,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,Injured Reserve: Hand,,,,,,,
9,Shon Coleman,cle,2017,,,,,,Questionable: Knee,,,,Questionable: Concussion,,,,,,
10,Trevon Coley,cle,2017,,,,,,,,Questionable: Neck,,,,,,,,
11,Jamie Collins,cle,2017,,,Out: Concussion,Out: Concussion,Doubtful: Concussion,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
12,Seth Devalve,cle,2017,,,,,,,,,,,,,Questionable: Hip,,,
13,Myles Garrett ,cle,2017,,Out: Ankle,Doubtful: Ankle,Questionable: Ankle,,,,Out: Concussion,,,,,,,,
14,Matt Hazel,cle,2017,,,,,,,,,,,,,,Questionable: Hamstring,Questionable: Hamstring,
15,Darius Hillary,cle,2017,,,,,,,,,,,,,,Questionable: Knee,,
16,Tyrone Holmes,cle,2017,,,,,,,,,,,,,Questionable: Knee,,,
17,Darius Jackson,cle,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
18,Roderick Johnson,cle,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
19,Derrick Kindred,cle,2017,,,,,,,,,,,,,,,Injured Reserve: Wrist,Injured Reserve: Wrist
20,Jordan Leslie,cle,2017,,,,,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring
21,Matt McCants,cle,2017,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
22,Jason McCourty,cle,2017,,,,,,,Questionable: Ankle,Doubtful: Ankle,,,,,,,,
23,T.Y. McGill,cle,2017,,Out: Back,Questionable: Back,,,,,,,,,,,,,
24,Jamie Meder,cle,2017,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
25,Emmanuel Ogbah,cle,2017,,,,,,,,,,,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot
26,Jabrill Peppers ,cle,2017,,,,,,,Questionable: Toe,Questionable: Toe,,,,,Doubtful: Knee,,,
27,Reggie Porter,cle,2017,,,,,,,,,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles,Injured Reserve: Achilles
28,Ed Reynolds,cle,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
29,Danny Shelton,cle,2017,Questionable: Knee,,,Questionable: Calf,,,,,,,,,Questionable: Chest,,,
30,Derron Smith,cle,2017,,,,,,,,,,,Doubtful: Knee,,,,,Questionable: Hip
31,Jamar Taylor,cle,2017,,,,,,,,,,Questionable: Ankle,,,,Questionable: Foot,Questionable: Foot,Questionable: Foot
32,Randall Telfer,cle,2017,,,,Questionable: Knee,,,,,,,,,,,,
33,Joe Thomas,cle,2017,,,,,,,,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep
34,J.C. Tretter,cle,2017,,,,,,Questionable: Knee,,,,Questionable: Shoulder,,,,,,
35,Danny Vitale ,cle,2017,,,,,,,,,,,,,,,,Out: Groin
36,Howard Wilson,cle,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
37,James Wright,cle,2017,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung,Injured Reserve: Lung
