,Player,Team,Year,09/10vs. IND,09/17vs. WAS,09/21vs. SFO,10/01vs. DAL,10/08vs. SEA,10/15vs. JAX,10/22vs. ARI,11/05vs. NYG,11/12vs. HOU,11/19vs. MIN,11/26vs. NOR,12/03vs. ARI,12/10vs. PHI,12/17vs. SEA,12/24vs. TEN,12/31vs. SFO,01/06vs. ATL
0,Maurice Alexander,ram,2017,,,,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
1,Brandon Allen,ram,2017,,,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
2,Mark Barron,ram,2017,,,,,,Questionable: Knee,Questionable: Thumb,,,,,,,,,Doubtful: Achilles,
3,Connor Barwin,ram,2017,,,,,,,,,,,,Out: Forearm,Questionable: Forearm,,,,
4,Jamon Brown,ram,2017,,,,,Questionable: Groin,,,,,,,,,,,,
5,Malcolm Brown ,ram,2017,,,Questionable: Hamstring,,,,,,Out: Knee,Out: Knee,Out: Knee,Questionable: Knee,,,,,
6,Derek Carrier,ram,2017,,,,,,,,,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,
7,Marqui Christian,ram,2017,,,,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder
8,Cody Davis ,ram,2017,,,,Questionable: Quadricep,,,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,Injured Reserve: Thigh,,
9,Lance Dunbar,ram,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,,Questionable: Knee,Questionable: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee
10,Dominique Easley,ram,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
11,Bryce Hager,ram,2017,,,,,,,,,,,Questionable: Calf,,,,,,
12,Cory Harkey,ram,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
13,Dominique Hatfield,ram,2017,,,,,,,,,,,,,Doubtful: Hip,,,,
14,Temarrick Hemingway,ram,2017,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin,Injured Reserve: Shin
15,Troy Hill,ram,2017,,,,,,Doubtful: Shoulder,,,,Questionable: Hamstring,,,,,,,
16,Lamarcus Joyner,ram,2017,,,,Out: Hamstring,Doubtful: Hamstring,Questionable: Hamstring,,,,,,,,,,Injured Reserve: Undisclosed,
17,Cooper Kupp,ram,2017,,,,,,,,,,,,,,,,Questionable: Knee,
18,Zach Laskey,ram,2017,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
19,Matt Longacre ,ram,2017,,,,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
20,Bradley Marquez,ram,2017,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,,Injured Reserve: Knee
21,Alec Ogletree,ram,2017,,,,,,,,,,,,,Questionable: Elbow,,,,
22,Robert Quinn,ram,2017,,,,,,,,,Doubtful: Illness,,,,,,,,
23,Nickell Robey-Coleman ,ram,2017,,,,,,,,,,,Doubtful: Thigh,,,,,,
24,John Sullivan,ram,2017,,,,Questionable: Hip,,,,,,,,,,,,,
25,Mike Thomas,ram,2017,,,,,,,,,,,,,,,,,Doubtful: Ankle
26,Kayvon Webster,ram,2017,,Questionable: Shoulder,Questionable: Shoulder,,,,,,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
27,Robert Woods,ram,2017,,,,,,,,,,,Out: Shoulder,Out: Shoulder,Questionable: Shoulder,,,,
28,Greg Zuerlein,ram,2017,,,,,,,,,,,,,,,Injured Reserve: Back,Injured Reserve: Back,Injured Reserve: Back
