,Player,Team,Year,09/09vs. NOR,09/16vs. PHI,09/24vs. PIT,09/30vs. CHI,10/14vs. ATL,10/21vs. CLE,10/28vs. CIN,11/04vs. CAR,11/11vs. WAS,11/18vs. NYG,11/25vs. SFO,12/02vs. CAR,12/09vs. NOR,12/16vs. BAL,12/23vs. DAL,12/30vs. ATL
0,Kwon Alexander,tam,2018,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
1,Beau Allen,tam,2018,,,Out: Foot,Out: Foot,Questionable: Foot,,,,,,,,,Questionable: Wrist,,
2,Sergio Bailey,tam,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
3,Tavaris Barnes,tam,2018,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
4,Kendell Beckwith,tam,2018,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
5,Devante Bond,tam,2018,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,,,,,,,Questionable: Illness
6,Riley Bullough,tam,2018,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,Injured Reserve: Foot,,,,,,,Injured Reserve: Foot,,,
7,Jack Cichy,tam,2018,,,,,,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
8,Chris Conte,tam,2018,,,Questionable: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
9,Alan Cross,tam,2018,,,,,,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder
10,Vinny Curry,tam,2018,,,,,,Out: Ankle,Out: Ankle,Questionable: Ankle,Out: Ankle,Out: Ankle,Questionable: Ankle,,,,,
11,Lavonte David,tam,2018,,,,,,,,,,Out: Knee,Out: Knee,Questionable: Knee,,,,
12,Carlton Davis,tam,2018,,,,Questionable: Groin,Questionable: Groin,Questionable: Back,,,,,,Out: Knee,Doubtful: Knee,Questionable: Knee,,
13,Evan Dietrich-Smith,tam,2018,,,,,,,,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip,Injured Reserve: Hip
14,Demar Dotson,tam,2018,,,,,,,,,,,,Doubtful: Knee,Questionable: Hamstring,Questionable: Knee,,
15,Justin Evans,tam,2018,,,,,,,,,,Out: Toe,Out: Toe,Questionable: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe,Injured Reserve: Toe
16,Maurice Fleming,tam,2018,,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
17,Cole Gardner,tam,2018,,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed,Injured Reserve: Undisclosed
18,Brent Grimes,tam,2018,Doubtful: Groin,Out: Groin,Questionable: Groin,,,,,,,,,Questionable: Knee,Questionable: Knee,,,
19,Vernon Hargreaves III,tam,2018,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
20,De'Vante Harris,tam,2018,Doubtful: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,,,,,,,,
21,O.J. Howard ,tam,2018,,,,,Questionable: Knee,,,,,,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle,Injured Reserve: Ankle
22,DeSean Jackson,tam,2018,,Questionable: Shoulder,,,,,,,,,Questionable: Thumb,Out: Thumb,Out: Thumb,Out: Thumb,Questionable: Thumb,Doubtful: Achilles
23,Ryan Jensen,tam,2018,,,Questionable: Illness,,,,,,,Questionable: Hamstring,Questionable: Hamstring,,,,,
24,Isaiah Johnson,tam,2018,,,,,,,,,,,,,Out: Concussion,Questionable: Concussion,,
25,Ronald Jones II,tam,2018,,,,,,,,Out: Hamstring,Out: Hamstring,Out: Hamstring,Questionable: Hamstring,,,,,
26,Gerald McCoy,tam,2018,,,,,,Out: Calf,Out: Calf,Questionable: Calf,,,,,,,,
27,Kevin Minter,tam,2018,,,,,,,,,,,,,,Injured Reserve: Calf,Injured Reserve: Calf,Injured Reserve: Calf
28,Carl Nassib,tam,2018,,,,,,,,,,Questionable: Elbow,,,,,,Doubtful: Shoulder
29,Rakeem Nunez-Roches,tam,2018,,,,,,,,,,,,Questionable: Knee,,,,
30,Jason Pierre-Paul,tam,2018,,Questionable: Knee,,,,,,,,,Questionable: Knee,,Questionable: Knee,Questionable: Knee,,Questionable: Knee
31,Garrison Sanborn,tam,2018,,,,,,,,,,,Questionable: Knee,,,,,
32,Charles Sims,tam,2018,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee,Injured Reserve: Knee
33,Donovan Smith,tam,2018,Questionable: Knee,,,,,,,,,,,,,,,
34,M.J. Stewart,tam,2018,,,,,,,,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Out: Foot,Questionable: Foot,,,
35,Adarius Taylor,tam,2018,,,,,,,,,,,,,,Questionable: NotInjuryRelated,,
36,Stevie Tu'ikolovatu,tam,2018,Injured Reserve: Undisclosed,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep,Injured Reserve: Tricep
37,Mitch Unrein,tam,2018,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion,Injured Reserve: Concussion
38,Jordan Whitehead,tam,2018,,,,Questionable: Shoulder,Questionable: Hamstring,Questionable: Hamstring,,,,,Questionable: Concussion,,,,,
39,Marcus Williams,tam,2018,,,Out: Hamstring,Questionable: Hamstring,Out: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,Injured Reserve: Hamstring,,,
40,Shaun Wilson,tam,2018,,,,,,,,,,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder,Injured Reserve: Shoulder
